Song,Artist,Genre,Embed-link
Smooth Criminal,Michael Jackson,Pop,h_D3VFfhvs4
Thriller,Michael Jackson,Pop,sOnqjkJTMaA
Billie Jean,Michael Jackson,Pop,Zi_XLOBDo_Y
I'll Be There,Michael Jackson,Pop,PrWXGtAz1vo
Beat It,Michael Jackson,Pop,oRdxUFDoQe0
Rock With You,Michael Jackson,Pop,5X-Mrc2l1d0
Man In The Mirror,Michael Jackson,Pop,PivWY9wn5ps
The Way You Make Me Feel,Michael Jackson,Pop,HzZ_urpj4As
Black Or White,Michael Jackson,Pop,F2AitTPI5U0
I Just Can't Stop Loving You,Michael Jackson,Pop,PHZ1Bii7Uwk
Bad,Michael Jackson,Pop,dsUXAEzaC3Q
Dirty Diana,Michael Jackson,Pop,yUi_S6YWjZw
Don't Stop Till You Get Enough,Michael Jackson,Pop,yURRmWtbTbo
Remember The Time,Michael Jackson,Pop,LeiFF0gvqcc
You Are Not Alone,Michael Jackson,Pop,mHhrZxLWOHc
They Don't Care About Us,Michael Jackson,Pop,QNJL6nfu__Q
Earth Song,Michael Jackson,Pop,XAi3VTSdTxU
Heal The World,Michael Jackson,Pop,BWf-eARnf6U
Liberian Girl,Michael Jackson,Pop,f3V-7DEAgdc
You Rock My World,Michael Jackson,Pop,1-7ABIM2qjU
Irreplacable,Beyonce,Pop,2EwViQxSJJQ
Baby Boy,Beyonce,Pop,8ucz_pm3LX8
Crazy In Love,Beyonce,Pop,JptwkEhdNfY
Check On It,Beyonce,Pop,Q1dUDzBdnmI
Single Ladies (Put A Ring On It),Beyonce,Pop,4m1EFMoRFvY
"Jumpin', Jumpin'",Beyonce,Pop,Vjw92oUduEM
Say My Name,Beyonce,Pop,UDuUjMG6ac8
Lose My Breath,Beyonce,Pop,AqeIiF0DlTg
Survivor,Beyonce,Pop,Wmc8bQoL-J0
"Bills, Bills, Bills",Beyonce,Pop,NiF6-0UTqtc
Naughty Girl,Beyonce,Pop,RZuJ_OHBN78
"No, No, No",Beyonce,Pop,XQtoCz9dIJQ
03 Bonnie & Clyde,Beyonce,Pop,LINbG3eJtu8
Soldier,Beyonce,Pop,qFJ3VKnwmJw
"Me, Myself And I",Beyonce,Pop,4S37SGxZSMc
Telephone,Beyonce,Pop,EVBsypHzF3U
Halo,Beyonce,Pop,bnVUHWCynig
If I Were A Boy,Beyonce,Pop,AWpsOqh8q0M
Bootylicious,Beyonce,Pop,IyYnnUcgeMc
Beautiful Liar,Beyonce,Pop,QrOe2h9RtWI
Tiny Dancer,Elton John,Pop,yYcyacLRPNs
Rocket Man,Elton John,Pop,DtVBCG6ThDk
Saturday Night's Alright For Fighting,Elton John,Pop,26wEWSUUsUc
Bennie And The Jets,Elton John,Pop,p5rQHoaQpTw
Goodbye Yellow Brick Road,Elton John,Pop,DDOL7iY8kfo
Sorry Seems To Be The Hardest Word,Elton John,Pop,c3nScN89Klo
Song For Guy,Elton John,Pop,CFSlSCjzV_U
Empty Garden,Elton John,Pop,SWyy7Huc6KA
Candle In The Wind,Elton John,Pop,1o9rLDCfO6o
Are You Ready For Love,Elton John,Pop,4QSA7pSvh-o
Philadelphia Freedom,Elton John,Pop,iGqrXHMfXpw
Sacrifice,Elton John,Pop,NrLkTZrPZA4
Someone Savd My Life Tonight,Elton John,Pop,VZRRd4bW91c
Rotten Peaches,Elton John,Pop,DKeFEO52ilM
Levon,Elton John,Pop,mire1WJKdR8
Crocodile Rock,Elton John,Pop,QS-YZlJLCbM
The Bitch Is Black,Elton John,Pop,cdrFBwwWJ44
Ego,Elton John,Pop,s7Qxm9n54iU
Step Into Christmas,Elton John,Pop,IbRtGMm96F8
Don't Go Breaking My Heart,Elton John,Pop,z0qW9P-uYfM
A Day In The Life,Beatles,Pop,usNsCeOV4GM
